Model,Scenario,Region,Variable,Unit,Year,Value
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2005,0.0
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2005,0.0
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2010,0.0
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2010,0.0
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2015,0.0
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2015,0.0
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2020,0.0
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2020,0.0
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2025,0.2371968
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2025,0.0335572
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2030,10.4294311
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2030,0.6627605
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2035,50.5632315
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2035,4.170092
REMIND,C_SMIPv08-VLLO-SSP1-PkPrice500-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2040,117.1500853
