Year,Total DRI [Mt],DRI_SSP1,DRI_SSP2,DRI_SSP3,DRI_SSP5
1971,0.95,,,,
1972,1.39,,,,
1973,1.9,,,,
1974,2.72,,,,
1975,2.81,,,,
1976,3.02,,,,
1977,3.52,,,,
1978,5.0,,,,
1979,6.64,,,,
1980,7.14,,,,
1981,7.92,,,,
1982,7.28,,,,
1983,7.9,,,,
1984,9.34,,,,
1985,11.17,,,,
1986,12.53,,,,
1987,13.52,,,,
1988,14.09,,,,
1989,15.63,,,,
1990,17.68,,,,
1991,19.32,,,,
1992,20.51,,,,
1993,23.65,,,,
1994,27.37,,,,
1995,30.67,,,,
1996,33.3,,,,
1997,36.19,,,,
1998,36.96,,,,
1999,38.6,,,,
2000,43.78,,,,
2001,40.32,,,,
2002,45.08,,,,
2003,49.45,,,,
2004,54.6,,,,
2005,56.87,,,,
2006,59.7,,,,
2007,67.12,,,,
2008,67.95,,,,
2009,64.33,,,,
2010,70.28,,,,
2011,73.21,,,,
2012,73.14,,,,
2013,74.92,,,,
2014,74.59,,,,
2015,72.64,,,,
2016,72.76,,,,
2017,87.1,,,,
2018,100.73,,,,
2019,108.1,,,,
2020,104.84,,,,
2021,119.16,,,,
2022,127.36,,,,
2023,135.73,,,,
2024,140.8,,,,
2025,,166.3468036589933,166.3468036589933,166.3468036589933,166.3468036589933
2026,,179.8312271991467,179.72262901490882,179.59822973813885,179.98182698248328
2027,,193.86813152721732,193.64134365638634,193.38159787612733,194.18268579615332
2028,,208.44039229276916,208.0857896119776,207.6797129072876,208.93230409657252
2029,,223.52860816176624,223.03657861120618,222.47320268915973,224.21126395191823
2030,,239.11137322109064,238.47236313961704,237.74078759706316,239.99807975792152
2031,,256.6417210610774,254.76589581171666,252.58209563931032,259.38866489526856
2032,,274.7267729941695,271.5254392797263,267.7887455154967,279.4726898978785
2033,,293.33953153583747,288.725196030237,283.33641749827405,300.2214178501755
2034,,312.45181696630243,306.33853153719184,299.20034560546037,321.60439124671046
2035,,332.03461989828156,324.3382935088418,315.3555975641678,343.5898342361817
2036,,353.4463896621969,342.7874406216071,330.1464412239285,370.12144765585333
2037,,375.3530242087901,361.5735621773715,345.0910161986036,397.44523157463277
2038,,397.7228401877133,380.66957378156957,360.16804121118736,425.5214782156443
2039,,420.52437027921655,400.0489617341124,375.3571977407506,454.3100113555386
2040,,443.7266489139328,419.68599632704354,390.63925571695603,483.7706001810297
2041,,468.9077995937732,440.2162949973613,404.7443904110588,517.8201666188767
2042,,494.50907479441287,460.98610137470604,418.8564313752424,552.6771351154802
2043,,520.4996149166396,481.97188471580665,432.96207518804727,588.2960163505883
2044,,546.8497948955015,503.151423573504,447.0493760751153,624.632331478645
2045,,573.53137151627,524.503882849103,461.1077293585115,661.6429019747791
2046,,600.9367113945885,546.7814248605598,474.480737356494,700.9531400483214
2047,,628.6380427128446,569.2228983776951,487.78742128979263,740.9300458960333
2048,,656.6111431940627,591.8106148780887,501.02196704894556,781.5327106157205
2049,,684.8334511861763,614.5283546600978,514.1796770468662,822.7222517813672
2050,,713.2840723418624,637.3613439322623,527.2568931251409,864.4619061175571
