Year,AEM,ALK,PEM,SOEC
1990,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0
1992,0.0,0.7,0.0,0.0
1993,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0
2000,0.0,0.0536,0.001,0.0
2001,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0
2003,0.0,1.452,0.0036399999999999996,0.0
2004,0.0,0.0854,0.0026,0.0
2005,0.0,0.015,0.03276,0.0
2006,0.0,0.3,0.0104,0.0
2007,0.0,0.062,0.0832,0.0
2008,0.0,0.346,0.04464,0.0
2009,0.0,0.006,0.004,0.0
2010,0.0,7.19518,0.0052,0.0
2011,0.0,4.006,0.01,0.0
2012,0.0,0.7310000000000001,0.11884,0.0
2013,0.0,5.1842696629213485,1.04312,0.0
2014,0.0,11.0,0.3208,0.0
2015,0.0,2.36,2.4699999999999998,0.01
2016,0.0,1.2,1.7204,0.0
2017,0.35,0.9005,11.7468,0.15
2018,0.0,1.0552,0.9374,0.038
2019,0.0,1.776,10.385,0.18
2020,0.0,1.55,10.725,0.85
2021,0.0,8.775,21.15,0.0
2022,0.0,12.0,22.009784002873122,0.0
2023,2.474,24.479999999999997,23.400138525473295,2.975
2024,0.06225,36.20634404362967,56.0,1.0
2025,5.0,98.9,256.92,0.0
