Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock,scrap_collection_rate,scrap_supply,primary_steel_needed
2022,3923881403.945464,229304895.48001212,158245529.1644613,71059366.31555128,9176509060.035915,464746740.19940865,177581539.83020964,287165200.36919785,20590483349.11662,526478903.7988917,113149609.83132547,413329293.9675636,2410142730.7111616,186485089.41102976,127487182.49218203,58997906.91884804,1407015628.8893423,576463861.3181785,36101016543.80916,0.7,576463861.3181785,830551767.5711638
2023,3995511538.2458286,233057876.85491,161427742.55454475,71630134.3003645,9467704883.960396,475795010.757739,184599186.83325997,291195823.92448044,21007348574.7155,533091737.1719361,116226511.57305922,416865225.59888077,2469784698.0759716,190618965.85490876,130976998.49009869,59641967.36480999,1432563590.6394937,593230439.4509627,36940349694.997696,0.7039520075180951,593230439.4509627,839333151.188531
2024,4067690188.415959,236824625.10371512,164645974.93358493,72178650.17013025,9762658741.217337,486770755.3494536,191816898.09251112,294953857.25694084,21427581851.60048,539605147.9695027,119371871.08451962,420233276.88497925,2530036725.5687804,194772607.7833915,134520580.29058278,60252027.49280882,1457973136.2060628,610355324.4011984,37787967506.80255,0.7083518569481373,610355324.4011984,847617811.8048644
2025,4140394315.7227273,240603645.3687939,167899518.06202567,72704127.30676842,10061081797.942675,497657377.8128966,199234321.0875584,298423056.725338,21851009143.62453,546013708.4133415,122586416.38929422,423427292.02405167,2590863207.105484,198942978.8250297,138116497.2883258,60826481.53670359,1483217710.4200616,627836752.827204,38643348464.39542,0.7132220552358922,627836752.827204,855380957.5928576
2026,4213600119.073721,244393422.32488006,171187618.97388658,73205803.35099363,10362669937.557251,508438725.5209669,206850585.90639475,301588139.61457634,22277450505.887695,552312203.6785492,125870841.41537885,426441362.2631645,2652227001.2846026,203126991.20822242,141763197.02910402,61363794.17911863,1508271342.7326183,645672243.3247643,39505947563.80327,0.7185785002879523,645672243.3247643,862599099.4078541
2027,4287283061.530416,248192422.5941719,174509480.13747662,73682942.45669508,10667104859.69145,519099200.9132154,214664278.7790144,304434922.13419914,22706720354.206516,558495651.8746717,129225803.55585429,429269848.31882095,2714089510.2237067,207321514.8992095,145459005.96010536,61862508.93910408,1533108790.2812686,663858568.4324508,40375197785.65209,0.7244284398454157,663858568.4324508,869250221.8488178
2028,4361417899.032067,251999097.22660783,177864259.7249566,74134837.50165129,10974055310.348684,529623867.9049541,222673417.2477188,306950450.6572342,23138627756.330315,564559323.3060524,132651921.18225378,431907402.1237984,2776410766.515772,211523387.02336118,149202130.73129603,62321256.29206514,1557705675.4609756,682391728.8862252,41250511732.22684,0.7307684566618438,682391728.8862252,875313946.5747504
2029,4435978711.275709,255811884.2368955,181251071.99325383,74560812.24364185,11283178434.530527,539998551.5059813,230875427.3241394,309123124.1818428,23572976744.091408,570498758.8760093,136149771.11491767,434348987.76109314,2839149527.9629016,215729421.5093616,152990660.06223175,62738761.44712973,1582038616.1282475,701266930.4945426,42131283417.86054,0.7375826658156476,701266930.4945426,880771685.6337049
2030,4510938934.686808,259629211.18952763,184668987.77842894,74960223.41109848,11594121240.60824,550209929.0694386,239267122.99172452,310942806.077713,24009566645.540123,576309787.5037825,139719886.05506787,436589901.4487152,2902263379.6713247,219936418.89315724,156822567.18473426,63113851.70842314,1606085346.655906,720478564.0099555,43016890200.5065,0.744841342134509,720478564.0099555,885606782.6459504
2031,4586271397.404327,263449497.822661,188117035.1051416,75332462.71751976,11906522163.912529,560245611.7211156,247844688.4168263,312400923.30428886,24448192435.9822,581988542.42582,143362751.98373595,438625790.44207764,2965708843.0203795,224141176.21662444,160695712.86756957,63445463.34905481,1629824828.1862211,740020188.3732734,43906694840.319435,0.7525002041535555,740020188.3732734,889804639.8129478
2032,4661948356.193466,267271158.70153758,191594199.91239828,75676958.7891388,12220012715.36964,570094214.6881049,256603663.23099425,313490551.45711136,24888645106.708805,587531476.259752,147078805.53315085,440452670.72660446,3029441490.9504256,228340496.95474055,164607849.02469417,63732647.93004608,1653237346.604135,759884517.7012377,44800047669.222336,0.7605005555986474,759884517.7012377,893352828.9028974
2033,4737941535.189054,271092605.8918432,195099426.89625537,75993178.99558735,12534219199.578178,579745415.4497169,265538931.2411772,314206484.20853806,25330712050.08768,592935374.7154628,150868431.3365894,442066943.37887573,3093416068.951184,232531200.9046072,168556622.90384907,63974578.00075817,1676304596.9616303,780063412.377871,45696288853.8061,0.7687704205368655,780063412.377871,896241184.5837593
2034,4814222166.362739,274912251.6433197,198631620.46963507,76280631.17368507,12848764485.534143,589189998.8686475,274644712.91268396,314545285.95596504,25774177459.570423,598197368.8458982,154731959.36315638,443465409.4827423,3157586621.07388,236710133.97001362,172539581.84731734,64170552.1226964,1699009753.327879,800547874.5927927,46594750732.54118,0.7772267065828895,800547874.5927927,898461878.7350862
2035,4890761031.597678,278728511.0738126,202189645.83887357,76538865.23493958,13163269812.302042,598419888.7196261,283914561.95172673,314505326.76789856,26218822743.065735,603314945.7396995,158669662.24438184,444645283.49531174,3221906620.238723,240874177.7764227,176554178.61158004,64319999.164842606,1721337523.309561,821328048.6465622,47494760207.20418,0.7857783043555499,821328048.6465622,900009474.6629988
