Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock_change,steel_needed_vehicles,steel_needed_machinery,steel_needed_BC,steel_needed_appliances,total_steel_needed
1801,11584527.502606029,327643.6760068508,3992.600647772658,323651.0753590781,277371.81604640797,13348.951195572668,60.400844862093905,13288.550350710575,28772726.720843587,902660.6105464102,2446.795408900947,900213.8151375093,779785.5059552863,29741.45877699702,390.2890001613094,29351.16977683571,1273394.6965258305,6890.085901697009,1266504.6106241336,370973.3650439887,15114.301625421953,1022034.2057817144,33674.658941346264,1441796.5313924714
1802,11917470.545341961,339722.7024695534,6779.659733620327,332943.0427359324,291329.03263324604,14044.186380960218,86.96979412214259,13957.216586838069,29701999.874016155,932123.3589426802,2850.20577011133,929273.1531725675,810284.52742309,31278.983455117574,779.9619873139007,30499.02146780363,1317169.2312483115,10496.797285167699,1306672.4339631414,384649.79899179505,15901.479145108942,1055393.2959043027,35415.515687406674,1491360.0897286136
1803,12259971.734348403,353699.15267641854,11197.963669976923,342501.1890064422,305988.56127185724,14783.155415389014,123.62677677781673,14659.528638611198,30661269.40653224,962581.8036061294,3312.2710900446677,959269.5325160846,841976.2791875829,33175.93909634037,1484.1873318475089,31691.751764492947,1364240.0507942773,16118.048868646916,1348122.001925631,400474.5840992058,16738.17415691691,1089879.7595178096,37563.336839153504,1544655.8546130857
1804,12612304.83900528,370325.9987627808,17992.894105904514,352333.104656877,321385.74068049714,15570.715973985738,173.53656534582802,15397.179408639902,31651502.509165958,994073.4948075411,3840.3921738252106,990233.1026337184,874907.3936341396,35620.9570718952,2689.84262533851,32931.11444655666,1415591.1666162028,24696.665470414064,1390894.501145792,419300.2703382935,17629.886745907766,1125536.1127802776,40331.69958321468,1602797.9694476936
1805,12974751.433620019,390574.12161419843,28127.526999459904,362446.5946147386,337557.6876507506,16412.541522556126,240.59455230265505,16171.946970253484,32673697.48787748,1026637.710077913,4442.731366389126,1022194.9787115231,909126.3253923184,38862.62427746154,4643.6925192826075,34218.931758178864,1472486.9974921292,37454.545437434295,1435032.452054694,442226.13407404715,18583.04067318402,1162406.8275338688,44002.065531546126,1667218.067812646
1806,13347601.11780927,415631.8648170657,42782.18062781613,372849.6841892507,354543.38650237274,17315.200361207575,329.5015095854689,16985.698851622117,33728884.760180876,1060315.5382315686,5128.265928175281,1055187.272303395,944683.4224675286,43195.01453833748,7637.917463127266,35557.097075210186,1536457.6179481794,55877.86552870415,1480579.752419478,470597.67302656895,19605.072872744084,1200538.426439729,48907.39870735675,1739648.571046399
1807,13731151.742979102,446868.5721244196,63317.94695458679,383550.62516983226,372383.78303765226,18286.209508711916,445.8129734323824,17840.39653527952,34818127.88311354,1095149.9646067175,5906.841674052486,1089243.122932665,981631.0001432888,48919.13906058431,11971.561384824268,36947.57767576014,1609223.8853004333,81642.16298689593,1527581.7223135368,505965.32169884467,20704.49446185679,1239979.5794913014,55388.51795808912,1822037.913610092
1808,14125709.645064728,485750.0804816105,91192.17839598248,394557.9020856265,391121.8832215163,19334.050524258913,595.9503403948652,18738.100183864066,35942524.613789186,1131185.9569952583,6789.226319610204,1124396.7306756452,1020023.4177615127,56278.01222425187,17885.594606027917,38392.41761822393,1692548.1002253797,116462.94966201545,1576085.1505633597,549988.7686612437,21890.90865518446,1280781.2013080372,63720.57543506779,1916381.454059533
1809,14531589.883695345,533699.0198309546,127818.78120034072,405880.23863061704,410802.85682497575,20468.133535196626,787.1599317372225,19680.973603459424,37103208.00354632,1168470.5516639443,7787.1619068141545,1160683.389757134,1059917.1584923698,65372.573197512706,25478.832466655607,39893.74073085713,1788010.2782276082,161871.9355055477,1626138.3427220676,604278.7815114976,23174.97003532227,1322996.5485325456,74017.8591457345,2024468.1592250997
1810,14949116.48795315,591901.9523328047,174375.34807499612,417526.6042578053,431474.1462814259,21698.696149507585,1027.4066930574786,20671.289456450148,38301347.52673304,1207052.9387962348,8913.415609511047,1198139.523186721,1101370.9122095925,76077.6071461296,34623.85342890675,41453.75371722272,1896731.1944246767,218940.02380647138,1677791.170618199,670178.840956527,24568.270096815653,1366681.3165718238,86138.59504770108,2147567.0226728674
1811,15378622.70889952,661078.2493726935,231572.02842632518,429506.2209463697,453185.58101786434,23036.625949788373,1325.1912133498374,21711.434736438445,39538150.245200895,1246984.5466166488,10181.828148786833,1236802.718467854,1144445.661591476,87986.26337077266,44911.51398888921,43074.749381883536,2019085.6853099032,287990.5617773511,1731095.1235325458,748503.4526411837,26083.136265611836,1411893.734846749,99622.12791074804,2286102.4516642927
1812,15820451.279045869,741240.075965177,299411.5058188262,441828.5701463483,475989.4975362292,24493.19916119556,1689.2826428307117,22803.91651836486,40814862.00961104,1288319.123390866,11607.358980729032,1276711.7644101456,1189204.7715724998,100412.81548676942,55653.70550574565,44759.10998102371,2154465.214004008,368361.85294813156,1786103.3610558824,839266.3903591225,27732.336006788453,1458694.6596363971,113692.04652034582,2439385.432522654
1813,16274954.678950043,831485.474062641,376982.0741584664,454503.39990417473,499940.86553390604,26079.733956328706,2128.365958651864,23951.367997676833,42132768.69868981,1331112.8164357648,13206.127356999948,1317906.6890787706,1235714.0822752353,112471.88710883379,65962.57640609832,46509.31070273556,2301149.9115635683,458279.1438802166,1842870.7676833577,941446.4153788962,29528.684280263482,1507147.6635368713,127345.8866721397,2605468.6498681707
1814,16742495.411123978,929873.1139144691,462332.38174053613,467540.7321739346,525097.420366944,27807.164561199737,2650.609728161715,25156.55483303801,43493197.497602016,1375424.2472140607,14995.44830185613,1360428.7989122048,1284042.0055571895,123229.4889333484,74901.5656513944,48327.923281954136,2456334.014623078,554880.0054219484,1901454.0092011315,1052845.4641241725,31484.561323822167,1557319.1204869347,139526.14236112818,2781175.2882960574
1815,17223446.281442128,1033424.0313167352,552473.1609985883,480950.87031815015,551519.8021747592,29685.551424441168,3263.1696166260376,26422.381807815167,44897518.216646336,1421314.581546195,16993.862501867672,1404320.7190443203,1334259.6253123598,131894.17893022837,81676.55917505792,50217.61975517031,2616318.3432176,654406.7522921399,1961911.590925456,1170090.615168405,33611.35804397777,1609278.2852651665,149336.70621629118,2962316.96469384
1816,17718190.688244365,1138280.608130716,643536.2013284774,494744.40680223703,579271.7020011256,31723.552466804475,3971.6526404381175,27751.899826366338,46347144.6515108,1468847.593931384,19221.15906692725,1449626.4348644614,1386440.8016726654,137996.78586181634,85815.60950151068,52181.17636030563,2776848.5403907206,752544.6225373535,2024303.9178533705,1288814.0943509012,35918.877340131876,1663097.3663172373,156246.36080368698,3144076.6988119576
1817,18227122.919331983,1240027.1808904738,731094.949802856,508932.2310876176,608420.0152630402,33927.889823569756,4779.576561655188,29148.31326191465,47843535.98636319,1518089.7249481855,21698.390095794603,1496391.33485239,1440662.2792598775,141504.50485580743,87283.02726859516,54221.47758721211,2933549.3005180364,844855.9437289009,2088693.3567891342,1404016.2827111343,38414.73032559981,1718851.5907474926,160217.9629255066,3321500.5667097336
1818,18750648.457058843,1334144.3883823252,810618.8506554638,523525.5377268605,639035.0029366866,36302.85431778806,5687.866644141437,30614.98767364642,49388198.241086654,1569110.1306921924,24447.875968718166,1544662.254723467,1497003.7996444935,142833.02413348077,86491.50374886506,56341.520384615986,3082390.397525786,927246.0970171884,2155144.3005085895,1510580.1498894081,41103.77526923467,1776619.2602946018,161722.1740641766,3490025.359517421
1819,19289184.291725148,1416537.8656163225,878002.0309500161,538535.8346663043,671190.460848276,38849.894883547466,6694.436971958201,32155.457911589416,50982685.76400977,1621980.7232183365,27493.20029523364,1594487.522923112,1555548.2181739137,142752.57539184336,84208.15686242316,58544.41852942016,3220121.0591100496,996397.8250796311,2223723.2340304255,1603869.8659605102,43987.65272140791,1836481.7971222107,161631.0862679386,3645970.4020720674
1820,19843159.243485063,1484059.3544643987,930084.4027044843,553974.9517599158,704963.8974769762,41567.34113106173,7793.904502361558,33773.43662870012,52628602.77151769,1676776.2009764242,30859.193468507467,1645917.0075079203,1616381.6253384654,142217.4478898211,81384.04072526921,60833.40716455178,3344620.344461706,1050121.5414006226,2294498.803061088,1680320.8270656688,47064.4713893362,1898523.7782794659,161025.19009264166,3786934.266827113
1821,20413014.292984106,1534931.5660253656,965076.5165263244,569855.0494990423,740436.7206975587,44450.303344596425,8977.480124013819,35472.82322058256,54327604.93597159,1733574.0682754442,34571.903821532534,1699002.1644539014,1679593.4728502308,142170.0463443012,78958.19883253606,63211.847511765314,3455125.9839897077,1087584.099304407,2367541.884685292,1737920.7042859665,50328.69491009559,1962832.957739407,160971.51986447145,3912053.8767999406
1822,20999202.92094718,1569000.4075455188,982811.7795824452,586188.6279630736,777694.4339118814,47490.78504568224,10233.071831359506,37257.71321432269,56081401.02340247,1792454.6428762611,38658.55544537401,1753796.0874308795,1745276.7046162484,143372.5050964667,77689.27333044888,65683.23176601762,3552318.340563929,1109392.6801896275,2442925.6603742936,1776495.0266593285,53771.26929991196,2029500.2749957668,162332.99942987625,4022099.570384884
1823,21602191.45694197,1587767.7478920326,984779.2118972391,602988.5359947905,816826.8420407956,50678.02907158175,11545.620942667721,39132.40812891419,57891754.58248823,1853501.0509031373,43147.49181737883,1810353.559085764,1813527.892794611,146302.81667169064,78051.62849332826,68251.18817836256,3638249.644538442,1117523.953150614,2520725.6913878312,1797744.2797690588,57380.014800251076,2098619.8493015594,165650.83409385264,4119394.9779647216
1824,22222459.43754782,1594198.2588175368,973930.278211684,620267.9806058519,857928.2678717541,53999.09983071484,12897.673999756282,41101.42583095853,59760485.68636389,1916799.2083744989,48068.10449884918,1868731.1038756594,1884447.3791290077,151127.2951584019,80207.8088240051,70919.48633439676,3716123.862181152,1115103.8655342944,2601019.996646866,1805025.2024655081,61140.28513441445,2170288.958757358,171113.3323804369,4207567.778737718
