year,steel_stock,stock_vehicles,stock_machinery,stock_BC,stock_appliances,population,stock_per_capita
1700,4599.8179199999995,824.979726826206,630.2543244370132,2781.9570415239878,362.6268272127925,595456896.0,7.724854562772583e-06
1710,96661.12302,17336.222487640098,13244.239630314136,58460.377454920104,7620.283447125667,617975872.0,0.0001564156909673004
1720,273965.55415,49135.86406099683,37538.002210709295,165693.60260734276,21598.085270951113,648184768.0,0.00042266583183577677
1730,450249.70865,80752.51849222239,61691.96931020431,272309.76730117865,35495.45354639466,670899968.0,0.0006711130274640288
1740,626533.86315,112369.17292344794,85845.93640969932,378925.93199501454,49392.8218218382,702227776.0,0.0008922088880033136
1750,802818.01765,143985.8273546735,109999.90350919434,485542.0966888505,63290.19009728175,753279296.0,0.0010657640823437686
1760,1105102.17215,198200.64705851531,151418.04198681723,668362.7097605087,87120.77334415875,788254976.0,0.0014019602867055038
1770,1801386.32665,323079.5708687921,246820.97032937963,1089473.423315199,142012.3621366292,827951488.0,0.0021757148247917636
1780,2937692.47595,526876.6673939633,402514.49492886977,1776708.2113765802,231593.10225058673,900945152.0,0.0032606784879508403
1790,4777772.27395,856895.9323940137,654637.1376439723,2889583.3381842384,376655.8657277759,942261696.0,0.005070536448878423
1800,7717308.051950001,1384103.1969655426,1057404.1967196108,4667406.373496644,608394.2847682035,983104755.0,0.007849934620599004
1801,8132375.74795,1458545.8032634158,1114275.623999521,4918438.157727864,641116.1629592001,986464967.0,0.008243957991414407
1802,8570309.98195,1537089.5349972937,1174280.1610481332,5183299.560328929,675640.7255756449,989864750.0,0.0086580616007894
1803,9021110.753950002,1617940.88698681,1236047.6355338504,5455942.609206362,711179.6222229796,993304404.0,0.00908191961862076
1804,9498778.06395,1703610.7664844766,1301496.2887209086,5744834.465291031,748836.5434535854,996784263.0,0.00952942217944105
1805,9985311.911950001,1790870.864165635,1368159.8104124325,6039088.778814676,787192.4585572578,1000304675.0,0.009982270563666016
1806,10498712.29795,1882949.4893549443,1438504.5108052974,6349591.899545557,827666.3982442014,1003866016.0,0.010458280418519516
1807,11054979.221950002,1982716.2503409912,1514722.66563006,6686020.582833242,871519.7231457097,1007468698.0,0.01097302501198901
1808,11640112.683950001,2087660.239871262,1594896.0336224826,7039907.667746857,917648.7427094008,1011113144.0,0.011512176211953192
1809,12294112.683950001,2204955.4786672224,1684505.304108956,7435445.0426603155,969206.8585135078,1014799822.0,0.012114815569951885
1810,13013979.221950002,2334063.915174763,1783139.4253900005,7870818.315945576,1025957.5654396631,1020150076.0,0.012756926189701133
1811,13691979.221950002,2455663.566403603,1876037.1094723076,8280870.823883383,1079407.7221907098,1025557675.0,0.013350764716328609
1812,14384979.221950002,2579953.4754029927,1970990.0520520108,8699995.289961405,1134040.4045335937,1031616616.0,0.013944113538735403
1813,15109979.221950002,2709982.6009795545,2070327.546092826,9138473.266738558,1191195.8081390639,1038342722.0,0.014552015343109423
1814,15883979.221950002,2848799.9019399113,2176378.8845584686,9606586.306773754,1252214.1286778694,1045238421.0,0.015196512970460357
1815,16687317.78695,2992879.0897314698,2286450.1120252884,10092443.229047216,1315545.3561460269,1052307852.0,0.015857828823793666
1816,17384490.00695,3117917.2885492216,2381974.720645525,10514091.042138023,1370506.955617229,1059555372.0,0.016407344501623646
1817,18135063.401949998,3252533.015766989,2484816.210511741,10968035.736844724,1429678.4388265435,1066985519.0,0.01699654126416499
1818,18947278.67695,3398204.246095509,2596103.700222323,11459261.26855438,1493709.4620777892,1074603043.0,0.017631886304783153
1819,19810814.89195,3553079.913599156,2714423.0431348616,11981525.561557138,1561786.3736588445,1082114553.0,0.018307502507038182
1820,20716041.12795,3715432.707966111,2838454.6373751923,12529003.86291835,1633149.919690349,1089507052.0,0.01901414138616333
1821,21745780.86795,3900117.063778023,2979546.727424627,13151787.584024874,1714329.4927224757,1096534977.0,0.019831360899625915
1822,22802039.198,4089557.542453003,3124272.321310011,13790609.67438948,1797599.659847507,1103392066.0,0.02066540072257507
1823,23942867.366800003,4294165.6655180715,3280585.4405096862,14480579.367225079,1887536.8935471673,1110594705.0,0.021558600323778782
