year,stock_per_capita,total_stock,population,type
1700,7.724854562772583e-06,4599.8179199999995,595456896.0,historic
1710,0.0001564156909673004,96661.12302,617975872.0,historic
1720,0.00042266583183577677,273965.55415,648184768.0,historic
1730,0.0006711130274640288,450249.70865,670899968.0,historic
1740,0.0008922088880033136,626533.86315,702227776.0,historic
1750,0.0010657640823437686,802818.01765,753279296.0,historic
1760,0.0014019602867055038,1105102.17215,788254976.0,historic
1770,0.0021757148247917636,1801386.32665,827951488.0,historic
1780,0.0032606784879508403,2937692.47595,900945152.0,historic
1790,0.005070536448878423,4777772.27395,942261696.0,historic
1800,0.007849934620599004,7717308.051950001,983104755.0,historic
1801,0.008243957991414407,8132375.74795,986464967.0,historic
1802,0.0086580616007894,8570309.98195,989864750.0,historic
1803,0.00908191961862076,9021110.753950002,993304404.0,historic
1804,0.00952942217944105,9498778.06395,996784263.0,historic
1805,0.009982270563666016,9985311.911950001,1000304675.0,historic
1806,0.010458280418519516,10498712.29795,1003866016.0,historic
1807,0.01097302501198901,11054979.221950002,1007468698.0,historic
1808,0.011512176211953192,11640112.683950001,1011113144.0,historic
1809,0.012114815569951885,12294112.683950001,1014799822.0,historic
1810,0.012756926189701133,13013979.221950002,1020150076.0,historic
1811,0.013350764716328609,13691979.221950002,1025557675.0,historic
1812,0.013944113538735403,14384979.221950002,1031616616.0,historic
1813,0.014552015343109423,15109979.221950002,1038342722.0,historic
1814,0.015196512970460357,15883979.221950002,1045238421.0,historic
1815,0.015857828823793666,16687317.78695,1052307852.0,historic
1816,0.016407344501623646,17384490.00695,1059555372.0,historic
1817,0.01699654126416499,18135063.401949998,1066985519.0,historic
1818,0.017631886304783153,18947278.67695,1074603043.0,historic
1819,0.018307502507038182,19810814.89195,1082114553.0,historic
1820,0.01901414138616333,20716041.12795,1089507052.0,historic
1821,0.019831360899625915,21745780.86795,1096534977.0,historic
1822,0.02066540072257507,22802039.198,1103392066.0,historic
1823,0.021558600323778782,23942867.366800003,1110594705.0,historic
1824,0.02253457053167077,25191329.2218,1117897019.0,historic
1825,0.023592496121190527,26548731.3876,1125304048.0,historic
1826,0.024662716887994367,27939449.994599998,1132861806.0,historic
1827,0.025870650256002173,29506104.808099996,1140524282.0,historic
1828,0.027085125576351614,31101658.9117,1148292956.0,historic
1829,0.028326970898076512,32735170.485699996,1155618460.0,historic
1830,0.02960618024373818,34417105.75130001,1162497339.0,historic
1831,0.030830953474661343,36037879.16329999,1168886301.0,historic
1832,0.032084970419958704,37693198.17329999,1174792985.0,historic
1833,0.03344854912575546,39476431.0733,1180213555.0,historic
1834,0.034923940701427285,41409108.20329999,1185694036.0,historic
1835,0.03662254456238093,43626155.2033,1191237685.0,historic
1836,0.03831681914616307,45859040.558299996,1196838401.0,historic
1837,0.0401082201130803,48230268.9683,1202503348.0,historic
1838,0.04195324233548638,50689321.84329999,1208233715.0,historic
1839,0.04388467818748938,53273142.0321,1213934891.0,historic
1840,0.04597307644591901,56069555.55189999,1219617217.0,historic
1841,0.0481052843193121,58942626.05189999,1225283810.0,historic
1842,0.049894702219470975,61416852.0243,1230929323.0,historic
1843,0.05186641979665088,64135704.745799996,1236555463.0,historic
1844,0.05454209128890801,67755400.4554,1242258939.0,historic
1845,0.05690867268138834,71024433.1903,1248042343.0,historic
1846,0.060208359692675656,75495709.1453,1253907423.0,historic
1847,0.06345689591538153,79946546.7453,1259855932.0,historic
1848,0.0665566536710113,84253384.3453,1265889730.0,historic
1849,0.0695155799958982,88363814.8953,1271136843.0,historic
1850,0.07257741051234066,92579955.10630001,1275602897.0,historic
1851,0.075858905956121,97005955.10630001,1278768180.0,historic
1852,0.07949237013757725,101842321.55330001,1281158448.0,historic
1853,0.083539004023327,107162321.55330001,1282781891.0,historic
1854,0.08802541364696045,113069964.12269999,1284514999.0,historic
1855,0.0928005192431022,119374794.26910001,1286359120.0,historic
1856,0.0980562290856005,126327382.9438,1288315736.0,historic
1857,0.10333958560077433,133347994.60080001,1290386388.0,historic
1858,0.10832398647271446,140016627.6698,1292572700.0,historic
1859,0.1135079328454081,147006605.11150002,1295121860.0,historic
1860,0.11892251623833668,154364681.343398,1298027373.0,historic
1861,0.12421341437542038,161636424.654069,1301279942.0,historic
1862,0.12980274042181938,169377402.310119,1304883100.0,historic
1863,0.1360566633304461,178074435.581956,1308825538.0,historic
1864,0.14280055241868894,187475816.198905,1312850777.0,historic
1865,0.149446211050199,196813517.918686,1316952210.0,historic
1866,0.15616096877085117,206308823.86382997,1321129252.0,historic
1867,0.16309461848942455,216163916.70706803,1325389634.0,historic
1868,0.17044385199569592,226644692.267107,1329732282.0,historic
1869,0.17857387845745462,238334378.857844,1334654211.0,historic
1870,0.18680296320172665,250347442.87994802,1340168478.0,historic
1871,0.1953594089830713,262993366.77380598,1346202715.0,historic
1872,0.2051437790655468,277538222.32962793,1352896118.0,historic
1873,0.21492123225023307,292327911.88975596,1360163018.0,historic
1874,0.22389131354121877,306171767.77913296,1367501771.0,historic
1875,0.2328111520749729,320101461.8177802,1374940414.0,historic
1876,0.24147221497341712,333825466.0580733,1382459121.0,historic
1877,0.25029769145706166,347921009.4604396,1390028839.0,historic
1878,0.25925169092259615,362347366.6571266,1397666358.0,historic
1879,0.267921899200517,376654850.42574656,1405838237.0,historic
1880,0.27928169846294687,395067203.1816576,1414583216.0,historic
1881,0.2912295364726702,414687270.6358576,1423919001.0,historic
1882,0.30412724652008405,436073152.2922876,1433850986.0,historic
1883,0.3168927815916168,457710949.18678766,1444371648.0,historic
1884,0.3285178668905534,478000603.48128754,1455021634.0,historic
1885,0.3394987266998349,497656598.94348764,1465857041.0,historic
1886,0.3508999490782093,518208499.8510786,1476798447.0,historic
1887,0.36329108305736396,540538396.0409176,1487893376.0,historic
1888,0.376312288151309,564135556.5372967,1499115427.0,historic
1889,0.39031615478714177,589420214.9236096,1510109709.0,historic
1890,0.4052827522828971,616391146.9462699,1520891633.0,historic
1891,0.4191267698925142,641861249.208419,1531425085.0,historic
1892,0.4333462910243427,668095243.3297039,1541712153.0,historic
1893,0.446326576464397,692590095.631776,1551756342.0,historic
1894,0.4594312875945395,717603421.7116591,1561938512.0,historic
1895,0.47432632615231757,745770020.919536,1572272041.0,historic
1896,0.49012293515484257,775714503.260487,1582693744.0,historic
1897,0.5068964046118348,807618358.173749,1593261169.0,historic
1898,0.5249756342240827,842036544.7766341,1603953574.0,historic
1899,0.54501788576044,880367881.9299538,1615300901.0,historic
1900,0.5608824753061034,912709275.61681,1627273655.0,historic
1901,0.5784787092054433,948639823.1783055,1639887187.0,historic
1902,0.5971345664868507,987153983.1113498,1653151632.0,historic
1903,0.6165962026583235,1027905647.6856511,1667064512.0,historic
1904,0.635059517305207,1067633411.6885694,1681154888.0,historic
1905,0.6571651742531177,1114175915.0426795,1695427510.0,historic
1906,0.6809064232992794,1164273245.687862,1709887300.0,historic
1907,0.7049825010103766,1215783456.606381,1724558347.0,historic
1908,0.7230117699130981,1257636663.115059,1739441480.0,historic
1909,0.7460921749206482,1308443675.5771024,1753729257.0,historic
1910,0.771553745648272,1363657966.4528713,1767417985.0,historic
1911,0.7957134947165766,1416705981.177251,1780422213.0,historic
1912,0.8235136171795963,1476487754.398797,1792912374.0,historic
1913,0.8541904746427246,1541645850.6738508,1804803374.0,historic
1914,0.8758535515223816,1591324911.9465556,1816884694.0,historic
1915,0.895633164116342,1638205225.8820755,1829102909.0,historic
1916,0.9208872367791595,1695717791.5438156,1841395693.0,historic
1917,0.9430859355790486,1748271077.7005079,1853777065.0,historic
1918,0.9619751728886597,1795794933.9089482,1866778878.0,historic
1919,0.9755745604912861,1834689825.8756618,1880624916.0,historic
1920,0.9923650695119136,1880955222.1063802,1895426673.0,historic
1921,0.9985163774832957,1908081197.5853896,1910916276.0,historic
1922,1.0103688772027242,1947190630.4773695,1927207651.0,historic
1923,1.0279176567966197,1998494824.6448345,1944216846.0,historic
1924,1.044704457502319,2049176510.5826578,1961489200.0,historic
1925,1.0640451734406977,2105774837.1769543,1979027667.0,historic
1926,1.083451363908565,2163450427.0587826,1996813608.0,historic
1927,1.1058810200720088,2228182971.0349536,2014848732.0,historic
1928,1.1273807039529766,2292145697.0275292,2033160306.0,historic
1929,1.1521393350236997,2364334440.9789567,2052125441.0,historic
1930,1.1693131009322475,2422567343.509632,2071786711.0,historic
1931,1.1765570298136239,2461543907.1384726,2092158599.0,historic
1932,1.177733924969837,2488805662.8525357,2113215566.0,historic
1933,1.1810271805611678,2521398106.619483,2134919626.0,historic
1934,1.1894026451747461,2565413850.624229,2156892673.0,historic
1935,1.2011075885535576,2617382655.9030304,2179140887.0,historic
1936,1.2173280076699606,2680267652.939931,2201762907.0,historic
1937,1.2378401120826674,2753860748.0252576,2224730578.0,historic
1938,1.2513275410842832,2813143637.636637,2248127325.0,historic
1939,1.2710610527850241,2886166806.431662,2270675197.0,historic
1940,1.2895793388714811,2955689493.4292245,2291979566.0,historic
1941,1.3041365098761761,3015292691.6571937,2312098978.0,historic
1942,1.322109084445573,3082015240.4946284,2331135363.0,historic
1943,1.3473845289868014,3165025945.2253494,2349014611.0,historic
1944,1.3694901374355157,3241472019.8157225,2366918849.0,historic
1945,1.3813977096108478,3294180133.684226,2384671779.0,historic
1946,1.3941581917493324,3349188687.5169463,2402301767.0,historic
1947,1.4126271819986556,3420382640.482996,2421291820.0,historic
1948,1.4346264111423648,3503210183.418182,2441897177.0,historic
1949,1.454177566766324,3588798296.5527306,2467923023.0,historic
1950,1.4785434046501287,3686145993.5049796,2493092852.0,historic
1951,1.4966965080731645,3797009833.02421,2536927034.0,historic
1952,1.5132115375597417,3910269263.7385254,2584086340.0,historic
1953,1.5318517853110092,4035060347.9747214,2634106241.0,historic
1954,1.5460535335050043,4152537234.2877684,2685894857.0,historic
1955,1.568128799887815,4297008171.357514,2740213796.0,historic
1956,1.59020182312795,4445266064.078286,2795409991.0,historic
1957,1.6144689616295798,4605463754.775075,2852618331.0,historic
1958,1.6354814612484148,4761294865.986047,2911249671.0,historic
1959,1.6636325428814853,4934251522.830731,2965950350.0,historic
1960,1.7037651625821926,5137654249.458954,3015470889.0,historic
1961,1.740804817305812,5335339894.654498,3064869675.0,historic
1962,1.7764209439058478,5548427543.494318,3123374312.0,historic
1963,1.8040375032092837,5759945058.644101,3192807826.0,historic
1964,1.8379164329461912,5999854932.844549,3264487343.0,historic
1965,1.875920025010493,6255318560.661532,3334533710.0,historic
1966,1.9159055839094676,6521821410.740399,3404041131.0,historic
1967,1.9568261755857101,6796865236.330069,3473412877.0,historic
1968,2.000479950986539,7092076008.116184,3545187246.0,historic
1969,2.0475337247523533,7411031078.554714,3619491581.0,historic
1970,2.097867910075793,7750958569.309682,3694683794.0,historic
1971,2.1468046130148144,8093126791.239659,3769847867.0,historic
1972,2.1981047526208375,8451531834.636303,3844917684.0,historic
1973,2.257056632928888,8849479024.21007,3920805041.0,historic
1974,2.315073965205964,9251998867.239954,3996416100.0,historic
1975,2.367183669285888,9636178074.434732,4070735279.0,historic
1976,2.421443257545217,10035057459.30006,4144246382.0,historic
1977,2.4722936545737952,10427797898.70734,4217863796.0,historic
1978,2.5238045671095666,10832415270.455748,4292097499.0,historic
1979,2.5765417291133828,11255724368.560947,4368539520.0,historic
1980,2.6237346938052344,11669338796.27265,4447606240.0,historic
1981,2.6654262722580264,12071122012.618328,4528777306.0,historic
1982,2.696319543664996,12437241477.408459,4612673415.0,historic
1983,2.7254611070821273,12802383607.435982,4697327573.0,historic
1984,2.7594873147031067,13196352678.60476,4782175518.0,historic
1985,2.7926654013034113,13597329933.266523,4868943457.0,historic
1986,2.8246737484727578,14004938191.339098,4958072839.0,historic
1987,2.856772354310054,14425975883.228996,5049746390.0,historic
1988,2.8915386202378364,14868270014.384848,5141992540.0,historic
1989,2.9279498573695184,15326153654.83168,5234431736.0,historic
1990,2.959878621215851,15769650511.496809,5327803106.0,historic
1991,2.9882895570004098,16192751860.277163,5418735886.0,historic
1992,3.0173506159251895,16613501759.568071,5505989815.0,historic
1993,3.0465928803554845,17035160583.961916,5591544802.0,historic
1994,3.0787601554783044,17473661073.505165,5675551258.0,historic
1995,3.1131450149007307,17928225378.66417,5758878977.0,historic
1996,3.1458352911657963,18378145088.391357,5842055730.0,historic
1997,3.181802267125791,18851503314.73347,5924787819.0,historic
1998,3.217428397549778,19327306957.598778,6007066691.0,historic
1999,3.2510600795561073,19795725397.12532,6089006328.0,historic
2000,3.2883446190370575,20294686324.03811,6171702992.0,historic
2001,3.3241170649011234,20792141039.85469,6254936464.0,historic
2002,3.364336174781311,21322255458.964066,6337730343.0,historic
2003,3.411347310668779,21902083390.255558,6420361633.0,historic
2004,3.4647055034687817,22532288764.714355,6503377774.0,historic
2005,3.527936502492135,23238412369.508236,6586970132.0,historic
2006,3.5997497641165346,24015557831.71003,6671452019.0,historic
2007,3.6819005543161234,24879738928.039604,6757308776.0,historic
2008,3.7582670985170377,25723300027.012646,6844457659.0,historic
2009,3.869843000361748,26656808241.327587,6888343594.0,recent
2010,3.9236240554837774,27375867529.955704,6977189237.0,recent
2011,3.977752397973835,28107892560.67995,7066275059.0,recent
2012,4.032219277073533,28852837260.09511,7155572472.0,recent
2013,4.0870156810793095,29617918053.394127,7246832497.0,recent
2014,4.142132341827197,30389808815.08512,7336754673.0,recent
2015,4.197559739579183,31173084283.12198,7426477815.0,recent
2016,4.253288108308999,31961358703.379875,7514505928.0,recent
2017,4.309307441384077,32761954211.833725,7602603123.0,recent
2018,4.3656074976394335,33565552932.79236,7688632785.0,recent
2019,4.422177807838166,34365507790.90331,7771172776.0,recent
2020,4.47900768151221,35166546398.19628,7851414621.0,predicted
2021,4.536086214175989,35937542039.56093,7922587963.0,predicted
2022,4.593402294904463,36684329261.60375,7986308820.0,predicted
2023,4.650944614266175,37470361162.69127,8056505564.0,predicted
2024,4.708701672600763,38267450373.74188,8126964296.0,predicted
2025,4.766661788629479,39072235395.05592,8196980849.0,predicted
2026,4.824813108386228,39883088637.152725,8266245291.0,predicted
2027,4.883143614455733,40701546497.00155,8335111500.0,predicted
2028,4.941641135504481,41524991901.98176,8403077188.999999,predicted
2029,5.00029335608922,42353287693.184,8470160584.000001,predicted
2030,5.059087826726942,43186448228.61359,8536410062.000001,predicted
2031,5.1180119742094785,44024318891.91119,8601839760.0,predicted
2032,5.177053112145063,44866407432.57492,8666398907.0,predicted
2033,5.236198451708526,45712330409.67682,8730060717.0,predicted
2034,5.29543511258111,46561900145.47098,8792837445.0,predicted
2035,5.354750134060321,47414879356.03526,8854732372.0,predicted
2036,5.414130486319657,48270698153.17302,8915687990.0,predicted
2037,5.4735630817976135,49128979358.02619,8975685239.0,predicted
2038,5.533034786694924,49988866794.36701,9034620009.0,predicted
2039,5.592532432558659,50850245670.85526,9092525843.0,predicted
2040,5.652042827931522,51712410189.80199,9149330917.0,predicted
2041,5.711552770044475,52575125901.58287,9205049488.0,predicted
2042,5.77104905653069,53437107583.018135,9259513662.0,predicted
2043,5.830518497138736,54297910882.54435,9312707079.0,predicted
2044,5.889947925422931,55157097925.21587,9364615549.0,predicted
2045,5.949324210388869,56013671787.81645,9415131838.0,predicted
2046,6.008634268072232,56866600974.572876,9464147498.0,predicted
2047,6.067865073029292,57715297840.626884,9511631710.0,predicted
2048,6.127003669717699,58558593994.29602,9557460245.0,predicted
2049,6.186037183746587,59395927872.32752,9601611841.0,predicted
2050,6.244952832975374,60226551288.4263,9644036216.0,predicted
