Model,Scenario,Region,Variable,Unit,Year,Value
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2005,0.0
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2005,0.0
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2010,0.0
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2010,0.0
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2015,0.0
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2015,0.0
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2020,0.0
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2020,0.0
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2025,0.2371968
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2025,0.0335572
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2030,7.8103767
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2030,0.1333058
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2035,30.6679043
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2035,0.9454544
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2040,61.6953867
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2040,3.1429061
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2045,94.1755729
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2045,7.57368
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2050,132.7024911
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2050,14.3021996
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2055,183.0595193
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2055,22.8120774
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2060,263.4272241
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2060,34.3907787
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2070,295.9324248
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2070,43.7711238
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2080,290.9290906
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2080,55.1012476
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2090,237.1053975
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2090,64.3568248
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2100,233.4146022
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2100,71.8323135
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2110,211.6330032
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2110,81.3880353
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2130,140.7200301
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2130,86.5585796
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2150,48.0647449
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2150,56.3504584
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,Unnamed: 24,
REMIND,C_SMIPv08-L-SSP2-PkPrice400-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,Unnamed: 24,
