Model,Scenario,Region,Variable,Unit,Year,Value
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2005,0.0
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2005,0.0
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2010,0.0
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2010,0.0
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2015,0.0
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2015,0.0
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2020,0.0
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2020,0.0
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2025,0.2371968
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2025,0.0335572
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2030,5.9342527
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2030,0.1173869
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2035,22.9999431
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2035,0.7110613
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2040,51.6227549
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2040,2.274136
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2045,87.3909072
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2045,4.043389
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2050,134.31652
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2050,6.6267021
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2055,195.9384932
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2055,10.1201139
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2060,298.8431996
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2060,14.6264862
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2070,348.617875
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2070,16.0472179
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2080,371.7225587
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2080,18.3949352
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2090,371.9747856
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2090,22.3672953
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2100,386.1026827
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2100,25.9048119
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2110,385.4324185
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2110,28.7179303
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2130,399.4462416
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2130,33.0445846
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,2150,263.5959458
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,2150,22.1005591
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,EUR,Cap|Hydrogen|+|Electricity,GW,Unnamed: 24,
REMIND,C_SMIPv08-M-SSP2-NPi2025-def-rem-6,NEU,Cap|Hydrogen|+|Electricity,GW,Unnamed: 24,
